K1,Construction
12605,26C.PC*20C.PC-99*57-164.3-PLAIN
12606,26PC*16OE.PC-114*58-165.6-2/1 Z TWILL
12606,26PC*16OE.PC-114*58-160-2/1 Z TWILL
12606,"26PC*16OE.PC-114*58-163.1-2/1,Z TWILL"
12606,"26C.PC*16.5OE.PC-113*58-165.2-2/1,Z TWILL"
12606,"26C.PC*16.5OE.PC-113*58-165.2-2/1,Z TWILL"
12606,"26C.PC*16.5OE.PC-113*58-165.2-2/1,Z TWILL"
12607,26C.PC*26C.PC-111*60-168.5-2/1 Z TWILL
12607,"26C.PC.RECY*26C.PC.RECY-111*60-168.5-2/1,Z TWILL"
12607,"26C.PC*26C.PC-111*60-168.5-2/1,Z TWILL"
12607,"26C.PC*26C.PC-111*60-168.5-2/1,Z TWILL"
12608,26PC*16.5PC-114*63-170.2-2/1 TWILL
12609,26PC*16PC(Z)-114*60-163.1-2/1 TWILL
12610,26C.CVC*26C.CVC-112*52-160-PLAIN
12612,26PC*26PC-96*62-172.7-PLAIN
12613,26PC*26PC-89*62-180.3-PLAIN
12614,26PC*26PC-91*62-175.3-PLAIN
12615,26VORTEX*15PC-88*58-185.4-2/1 Z TWILL
12615,26PC*15PC-88*58-185.4-2/1 Z TWILL
12621,26C.PC*15C.CVC-110*58-177.4-2/1 Z TWILL
12621,26C.PC*15C.CVC-110*58-177.4-2/1 Z TWILL
12621,"26C.PC*15C.CVC-110*58-177.4-2/1,Z TWILL"
13001,30C*10K-142*68-157.5-3/1 TWILL
13001,30C*10K-142*68-157.5-3/1 TWILL
13013,30COM*150D.PET-120*64-160-PLAIN
13013,30COM*150D.PET-120*64-160-PLAIN
13013,30C*150MD.PET-120*64-160-PLAIN
13024,30C*30C-117*64-158-PLAIN
13024,30C*30C-117*64-158-PLAIN
13024,30C*30C-117*64-158-PLAIN
13030,30KWC*30C-132*68-159-2/1 TWILL
13030,"30K.COM*30K.COM--132*68-159-2/1,S TWILL"
13030,"30C*30C--132*68-159-2/1,S TWILL"
13030,30K.COM*30K.COM-132*68-159
13030,"30K.COM*30K.COM-132*68-157-2/1,S TWILL"
13030,30COM*30COM-132*68-159-2/1 TWILL
13030,30COM*30COM-132*68-159-2/1 TWILL
13030,"30C*30K-132*68-159-2/1,S TWILL"
13030,30C*30C-132*68-159-2/1 TWILL
13030,30C*30C-132*68-159-2/1 TWILL
13030,30C*30C-132*68-158.8-
13033,30C*30C-132*76-159-2/1 TWILL
13049,30K.COM*30K-118*64-159-PLAIN
13049,30K.COM*30K-118*64-159-PLAIN
13049,30K.COM*30K-118*64-159-PLAIN
13049,30K.COM*30K.COM-118*64-159-PLAIN
13049,30COM*30COM-119*64-160.9-PLAIN
13049,30COM*30COM-119*64-158.8-PLAIN
13049,30COM*30COM-119*64-157.5-PLAIN
13049,30COM*30COM-118*64-159-PLAIN
13049,30COM*30COM-118*64-159-PLAIN
13049,30C*30K-119*64-158-PLAIN
13049,30C*30K.COM-119*64-158-PLAIN
13049,30C*30C-119*64-158-PLAIN
13073,30COM*30COM-132*86-159-3/1 TWILL
13095,30C*30C-120*84-160-
13097,30C*30C-132*86-160-
13204,"32K.COM*7OE-134*58-160-4/1,S SATIN"
